trade_date,ts_code,open,high,low,close,vol,trend_regime,vol_regime,state,y,hmm_state,hmm_state_label,hmm_p0,hmm_p1,hmm_p2,hmm_p3,hmm_p4
2021-02-19,601995.SH,62.3,62.3,60.0,62.19,19280224,UNK,V4,S5,0,1.0,S5,8.71504706479228e-08,0.5248269573066433,0.475170424047379,7.069446512304718e-11,2.5314249189008026e-06
2021-02-22,601995.SH,62.25,62.99,60.0,60.05,18957409,UNK,V4,S5,0,1.0,S5,3.4669833503959984e-09,0.8315805629272848,0.16839879615347841,4.255034807344578e-11,2.0637409516459327e-05
2021-02-23,601995.SH,58.95,60.5,58.66,59.65,13197100,T3,V3,S1,0,1.0,S5,1.79952985250437e-05,0.996638716310633,0.0032973771060712505,9.160168015704716e-12,4.5911275835115316e-05
2021-02-24,601995.SH,59.4,60.8,58.8,59.29,13474944,T3,V4,S3,0,1.0,S5,6.0602113984110745e-05,0.9998861829542448,3.8176364531378975e-05,2.987977715807344e-11,1.5038537579960131e-05
2021-02-25,601995.SH,59.66,60.32,58.16,59.49,13339867,T3,V4,S2,0,1.0,S5,7.4455630982315e-05,0.9999250750477995,2.3361067868418825e-07,1.901625333017098e-09,2.3380874121525943e-07
2021-02-26,601995.SH,58.0,58.5,56.4,57.8,19887668,T3,V4,S2,0,1.0,S5,6.72646954132685e-05,0.9999326614729099,1.1456314276027603e-09,1.198855125082228e-08,6.069766313342628e-08
2021-03-01,601995.SH,57.6,58.2,56.9,58.2,11590459,T3,V3,S2,0,1.0,S5,6.281602042833013e-05,0.9999371823318688,8.764730622969e-13,1.1110310113843554e-09,5.359926954748558e-10
2021-03-02,601995.SH,58.05,58.43,56.91,56.92,11382541,T3,V4,S2,0,1.0,S5,4.435777730037727e-05,0.9999556418958985,2.7388752164608486e-14,2.8726479695072345e-10,3.973335455802252e-11
2021-03-03,601995.SH,56.56,57.86,56.26,57.64,11648463,T3,V3,S2,0,1.0,S5,2.9483856016569943e-05,0.9999705161439223,3.4365416129558757e-15,5.0216633659174514e-14,1.3917628984845468e-14
2021-03-04,601995.SH,57.0,57.1,53.88,54.4,18398540,T3,V4,S2,0,1.0,S5,2.4353889387378833e-09,0.9999999975643732,2.898978801225671e-14,1.5123511524070791e-13,2.385924759340491e-14
