t_index,ts_code,close,open,high,low,state,trend_regime,vol_regime,y,y_hat
76,000001.SZ,13.52,13.45,13.56,13.27,S5,UNK,V3,1,0.48567313
77,000001.SZ,14.02,13.48,14.1,13.45,S5,UNK,V1,0,0.48539466
78,000001.SZ,13.93,14.02,14.32,13.88,S5,UNK,V3,0,0.49580824
79,000001.SZ,13.77,13.76,13.89,13.61,S5,UNK,V4,0,0.50610685
80,000001.SZ,13.689999999999998,13.76,13.76,13.6,S5,UNK,V3,0,0.5158392
81,000001.SZ,13.95,13.76,14.02,13.68,S5,UNK,V4,0,0.5246217
82,000001.SZ,14.0,13.92,14.13,13.9,S5,UNK,V3,0,0.53248584
83,000001.SZ,13.79,13.95,14.05,13.720000000000002,S5,UNK,V1,0,0.5397959
84,000001.SZ,13.63,13.75,13.78,13.53,S5,UNK,V3,0,0.54669297
85,000001.SZ,13.3,13.55,13.59,13.22,S5,UNK,V2,1,0.55449593
86,000001.SZ,13.23,13.39,13.43,13.14,S5,UNK,V3,0,0.5624034
87,000001.SZ,13.2,13.2,13.34,13.12,S5,UNK,V4,0,0.56991446
88,000001.SZ,13.36,13.41,13.45,13.27,S5,T2,V1,0,0.5731908
89,000001.SZ,13.510000000000002,13.38,13.62,13.27,S4,T2,V3,0,0.57585907
90,000001.SZ,13.4,13.52,13.57,13.36,S4,T2,V4,0,0.57819074
91,000001.SZ,12.92,13.33,13.34,12.92,S5,UNK,V4,1,0.57894677
92,000001.SZ,12.96,12.97,12.98,12.76,S5,UNK,V3,1,0.57933056
93,000001.SZ,13.04,13.02,13.07,12.94,S5,UNK,V1,1,0.57958156
94,000001.SZ,13.0,13.05,13.19,12.96,S5,UNK,V3,1,0.5797626
95,000001.SZ,13.29499391770954,13.09155101154719,13.406887516098834,13.030518139698486,S5,T2,V1,1,0.57984644
96,000001.SZ,13.22378890055272,13.233961045860836,13.264477481785187,13.14241173808778,S4,T2,V3,1,0.5799627
97,000001.SZ,13.54929755041248,13.325510353633891,13.620502567569302,13.30516606301766,S4,T2,V4,1,0.57947946
98,000001.SZ,13.78325689249918,13.518781114488124,13.86463405496412,13.508608969180008,S5,UNK,V3,1,0.57795644
99,000001.SZ,13.773084747191062,13.874806200272236,14.118937687667058,13.732396165958592,S5,UNK,V4,0,0.5765058
100,000001.SZ,13.803601183115417,13.762912601882944,13.874806200272236,13.640846858185537,S5,UNK,V1,0,0.5751083
101,000001.SZ,13.82394547373165,13.834117619039766,13.854461909656004,13.661191148801771,S5,UNK,V3,0,0.5737676
102,000001.SZ,13.854461909656004,13.915494781504709,14.088421251742703,13.813773328423531,S5,UNK,V1,0,0.5719093
103,000001.SZ,13.90532263619659,13.874806200272236,13.966355508045297,13.762912601882944,S1,T1,V3,0,0.5698836
104,000001.SZ,13.722224020650476,13.946011217429062,13.946011217429062,13.630674712877418,S2,T1,V3,0,0.5679238
105,000001.SZ,13.30516606301766,13.610330422261184,13.620502567569302,13.22378890055272,S5,UNK,V3,0,0.5676773
106,000001.SZ,13.213616755244605,13.122067447471544,13.244133191168952,13.09155101154719,S5,UNK,V3,0,0.56873095
107,000001.SZ,13.040690285006606,13.071206720930956,13.193272464628368,13.02034599439037,S5,UNK,V4,0,0.5707102
108,000001.SZ,13.111895302163427,13.122067447471544,13.213616755244605,13.081378866239074,S5,UNK,V3,0,0.5726351
109,000001.SZ,13.071206720930956,13.111895302163427,13.14241173808778,12.9796574131579,S5,UNK,V4,0,0.57407796
110,000001.SZ,12.9796574131579,12.9796574131579,13.02034599439037,12.806730942919902,S5,UNK,V1,1,0.5753658
111,000001.SZ,13.02034599439037,12.949140977233547,13.06103457562284,12.827075233536137,S5,UNK,V3,0,0.5766308
112,000001.SZ,12.857591669460492,12.959313122541666,12.9796574131579,12.837247378844252,S5,UNK,V1,1,0.5778948
113,000001.SZ,12.81690308822802,12.867763814768608,12.908452396001078,12.73552592576308,S5,UNK,V3,1,0.57916373
114,000001.SZ,13.02034599439037,12.857591669460492,13.10172315685531,12.81690308822802,S5,UNK,V1,1,0.5803826
115,000001.SZ,13.02034599439037,13.14241173808778,13.193272464628368,12.928796686617313,S5,UNK,V3,1,0.58070314
116,000001.SZ,13.02034599439037,13.050862430314725,13.10172315685531,12.938968831925427,S5,UNK,V1,1,0.58070976
117,000001.SZ,13.34585464425013,13.010173849082252,13.37637108017448,12.959313122541666,S5,T2,V1,1,0.5804953
118,000001.SZ,13.661191148801771,13.30516606301766,13.722224020650476,13.193272464628368,S5,UNK,V3,1,0.5791936
119,000001.SZ,14.495307064067402,13.803601183115417,14.566512081224229,13.793429037807297,S5,UNK,V4,1,0.5778622
120,000001.SZ,15.949923843128204,14.851332149851515,15.949923843128204,14.841160004543395,S1,T1,V3,0,0.5765546
121,000001.SZ,15.746480936965852,16.580596852231487,16.91627764739936,15.288734398100566,S2,T1,V3,0,0.57522416
122,000001.SZ,16.031301005593143,15.492177304262915,16.275432492987964,15.492177304262915,S2,T1,V4,0,0.57388306
123,000001.SZ,15.79734166350644,15.929579552511967,15.929579552511967,15.573554466727856,S2,T1,V3,0,0.57203007
124,000001.SZ,15.11580792786257,15.614243047960326,15.746480936965852,15.014086474781395,S2,T1,V4,0,0.57000166
125,000001.SZ,15.146324363786924,14.953053602932687,15.339595124641152,14.749610696770342,S2,T1,V3,0,0.5679468
126,000001.SZ,14.932709312316454,15.15649650909504,15.451488723030447,14.80047142331093,S2,T1,V1,0,0.565871
127,000001.SZ,14.51565135468364,15.034430765397628,15.11580792786257,14.47496277345117,S2,T1,V3,1,0.5649617
128,000001.SZ,14.393585610986229,14.54616779060799,14.80047142331093,14.363069175061876,S2,T1,V3,0,0.5649617
129,000001.SZ,14.383413465678112,14.413929901602463,14.525823499991755,14.190142704823876,S5,UNK,V4,0,0.5649617
130,000001.SZ,14.983570038857042,14.47496277345117,15.024258620089512,14.34272488444564,S5,UNK,V1,0,0.5649617
131,000001.SZ,14.739438551462223,14.932709312316454,14.932709312316454,14.647889243689168,S5,UNK,V3,0,0.5649617
132,000001.SZ,14.658061388997284,14.739438551462223,14.902192876392103,14.51565135468364,S5,UNK,V4,0,0.56496394
133,000001.SZ,14.251175576672583,14.485134918759286,14.535995645299872,14.047732670510236,S5,UNK,V4,0,0.5655945
134,000001.SZ,13.732396165958592,14.210486995440116,14.230831286056349,13.651019003493651,S5,UNK,V3,0,0.5675089
135,000001.SZ,13.467920387947538,13.90532263619659,13.915494781504709,13.325510353633891,S5,UNK,V3,1,0.56774783
136,000001.SZ,13.569641841028712,13.569641841028712,13.661191148801771,13.406887516098834,S5,UNK,V4,1,0.56774974
137,000001.SZ,13.773084747191062,13.57981398633683,13.86463405496412,13.437403952023184,S5,UNK,V4,1,0.56774974
138,000001.SZ,13.600158276953064,13.732396165958592,13.742568311266709,13.600158276953064,S5,UNK,V3,1,0.56774974
139,000001.SZ,13.569641841028712,13.508608969180008,13.762912601882944,13.478092533255657,S5,UNK,V4,1,0.56774974
140,000001.SZ,13.82394547373165,13.70187973003424,13.854461909656004,13.661191148801771,S5,T2,V1,1,0.56774974
141,000001.SZ,14.281692012596936,13.895150490888474,14.393585610986229,13.71205187534236,S4,T2,V3,1,0.56774974
142,000001.SZ,13.996871943969646,14.057904815818352,14.088421251742703,13.854461909656004,S4,T2,V3,1,0.5677494
143,000001.SZ,14.139281978283291,14.057904815818352,14.200314850132,13.884978345580356,S4,T2,V4,1,0.5677493
144,000001.SZ,13.935839072120942,14.037560525202116,14.139281978283291,13.854461909656004,S4,T2,V4,1,0.5677493
145,000001.SZ,14.190142704823876,13.90532263619659,14.261347721980702,13.854461909656004,S4,T2,V3,1,0.56774926
146,000001.SZ,14.373241320369994,14.210486995440116,14.91236502170022,14.210486995440116,S5,T2,V2,1,0.56774867
147,000001.SZ,14.627544953072931,14.454618482834936,14.749610696770342,14.393585610986229,S1,T1,V4,1,0.5677475
148,000001.SZ,14.424102046910582,14.647889243689168,14.708922115537872,14.383413465678112,S2,T1,V3,1,0.56774867
149,000001.SZ,14.719094260845988,14.34272488444564,14.759782842078458,14.302036303213171,S2,T1,V4,0,0.56774926
150,000001.SZ,15.451488723030447,14.851332149851515,15.614243047960326,14.80047142331093,S2,T1,V3,0,0.56774926
151,000001.SZ,15.410800141797978,15.461660868338564,15.56338232141974,15.166668654403155,S2,T1,V3,0,0.56774926
152,000001.SZ,15.35993941525739,15.370111560565508,15.614243047960326,15.217529380943745,S2,T1,V1,0,0.56774926
153,000001.SZ,14.841160004543395,15.268390107484333,15.40062799648986,14.780127132694693,S2,T1,V3,0,0.5677493
154,000001.SZ,14.698749970229754,14.96322574824081,14.96322574824081,14.566512081224229,S2,T1,V3,1,0.56774926
155,000001.SZ,14.708922115537872,14.749610696770342,14.96322574824081,14.658061388997284,S2,T1,V4,1,0.5677493
156,000001.SZ,14.851332149851515,14.810643568619046,14.942881457624573,14.708922115537872,S2,T1,V1,1,0.5677493
157,000001.SZ,14.617372807764813,14.851332149851515,14.861504295159632,14.525823499991755,S2,T1,V2,1,0.5677493
158,000001.SZ,14.708922115537872,14.647889243689168,14.708922115537872,14.35289702975376,S5,UNK,V3,1,0.5677493
159,000001.SZ,15.39045585118174,14.50547920937552,15.441316577722327,14.50547920937552,S1,T1,V4,0,0.56774926
160,000001.SZ,15.339595124641152,15.56338232141974,15.949923843128204,15.248045816868098,S2,T1,V3,0,0.5677493
161,000001.SZ,15.40062799648986,15.217529380943745,15.492177304262915,15.136152218478804,S2,T1,V1,1,0.5677493
162,000001.SZ,15.583726612035974,15.268390107484333,15.79734166350644,15.268390107484333,S2,T1,V3,0,0.5677471
163,000001.SZ,15.15649650909504,15.583726612035974,15.59389875734409,15.095463637246336,S2,T1,V3,1,0.5671358
164,000001.SZ,15.217529380943745,14.983570038857042,15.31925083402492,14.851332149851515,S2,T1,V3,1,0.5651133
165,000001.SZ,15.197185090327508,15.136152218478804,15.502349449571035,15.085291491938216,S2,T1,V1,1,0.5630218
166,000001.SZ,15.695620210425265,15.258217962176214,15.695620210425265,15.258217962176214,S2,T1,V1,0,0.56096107
167,000001.SZ,15.471833013646682,15.522693740187268,15.827858099430792,15.39045585118174,S2,T1,V3,1,0.55782115
168,000001.SZ,15.604070902652207,15.583726612035974,15.746480936965852,15.461660868338564,S2,T1,V4,1,0.55412805
169,000001.SZ,15.268390107484333,15.441316577722327,15.56338232141974,15.0751193466301,S2,T1,V4,1,0.55041724
170,000001.SZ,15.56338232141974,15.268390107484333,15.56338232141974,15.176840799711274,S2,T1,V3,1,0.5461112
171,000001.SZ,15.614243047960326,15.461660868338564,15.746480936965852,15.410800141797978,S2,T1,V4,1,0.54153204
172,000001.SZ,15.705792355733385,15.583726612035974,15.80751380881456,15.471833013646682,S2,T1,V1,1,0.5370674
173,000001.SZ,15.83803024473891,15.80751380881456,15.990612424360672,15.665103774500912,S2,T1,V3,0,0.5326544
174,000001.SZ,16.346637510144784,15.888890971279496,16.366981800761017,15.787169518198322,S2,T1,V3,0,0.52831584
175,000001.SZ,16.13302245867432,16.275432492987964,16.32629321952855,15.980440279052557,S2,T1,V3,0,0.5240953
176,000001.SZ,15.83803024473891,15.939751697820084,16.112678168058082,15.654931629192795,S2,T1,V4,0,0.51998574
177,000001.SZ,15.899063116587618,15.858374535355146,16.102506022749964,15.776997372890206,S2,T1,V3,0,0.5188963
178,000001.SZ,15.380283705873625,15.858374535355146,15.87871882597138,15.380283705873625,S5,UNK,V1,1,0.5195185
179,000001.SZ,15.451488723030447,15.461660868338564,15.573554466727856,15.370111560565508,S5,UNK,V3,1,0.52153814
180,000001.SZ,15.573554466727856,15.451488723030447,15.63458733857656,15.23787367155998,S5,UNK,V4,1,0.5244819
181,000001.SZ,15.054775056013868,15.654931629192795,15.675275919809032,15.014086474781395,S5,UNK,V3,1,0.5283823
182,000001.SZ,15.43114443241421,15.054775056013868,15.532865885495385,15.054775056013868,S5,UNK,V3,1,0.5325472
183,000001.SZ,15.441316577722327,15.56338232141974,15.817685954122677,15.39045585118174,S4,T2,V4,1,0.536813
184,000001.SZ,16.173711039906788,15.4820051589548,16.32629321952855,15.471833013646682,S5,UNK,V1,1,0.5387923
185,000001.SZ,16.336465364836666,16.173711039906788,16.387326091377254,16.04147315090126,S5,UNK,V3,1,0.53879225
186,000001.SZ,16.305948928912315,16.31612107422043,16.397498236685372,16.071989586825612,S5,UNK,V4,1,0.53879225
187,000001.SZ,16.84507263024254,16.47887539915031,17.21126986133477,16.428014672609724,S1,T1,V1,1,0.53879225
188,000001.SZ,17.394368476880885,16.84507263024254,17.669016400200057,16.824728339626304,S2,T1,V3,1,0.53879225
189,000001.SZ,17.78090999858935,17.597811383043236,18.411583007692634,17.597811383043236,S2,T1,V3,1,0.53879225
190,000001.SZ,17.841942870438054,17.78090999858935,17.90297574228676,17.546950656502645,S2,T1,V4,1,0.53879225
191,000001.SZ,18.2183122468384,17.94366432351923,18.30986155461146,17.628327818967584,S2,T1,V1,0,0.53879225
192,000001.SZ,17.862287161054287,18.24882868276276,18.81846882001733,17.597811383043236,S2,T1,V3,1,0.53879225
193,000001.SZ,18.442099443616986,17.83177072512994,19.103288888644624,17.83177072512994,S2,T1,V4,0,0.53879225
194,000001.SZ,18.004697195367932,18.513304460773806,18.604853768546864,17.750393562664996,S2,T1,V3,0,0.53879225
195,000001.SZ,18.06573006721664,18.30986155461146,18.30986155461146,17.801254289205584,S2,T1,V4,1,0.53879225
196,000001.SZ,17.93349217821111,18.06573006721664,18.20814010153028,17.587639237735115,S2,T1,V1,1,0.5387922
197,000001.SZ,18.07590221252476,17.841942870438054,18.238656537454634,17.648672109583824,S2,T1,V3,0,0.53879225
198,000001.SZ,18.05555792190852,18.0453857766004,18.676058785703685,17.90297574228676,S2,T1,V3,0,0.53879225
199,000001.SZ,17.93349217821111,17.953836468827344,18.360722281152047,17.628327818967584,S2,T1,V1,1,0.5387922
200,000001.SZ,18.26917297337899,18.01486934067605,18.65571449508745,18.004697195367932,S2,T1,V3,1,0.53879225
201,000001.SZ,18.63537020447122,18.66588664039557,18.798124529401097,18.26917297337899,S2,T1,V3,0,0.5387922
202,000001.SZ,18.004697195367932,18.686230931011806,18.81846882001733,17.841942870438054,S5,UNK,V3,0,0.5387922
203,000001.SZ,17.94366432351923,18.01486934067605,18.05555792190852,17.516434220578294,S5,UNK,V3,0,0.53879225
204,000001.SZ,18.147107229681577,17.974180759443584,18.30986155461146,17.841942870438054,S5,UNK,V1,0,0.53879225
205,000001.SZ,18.42175515300075,18.30986155461146,18.81846882001733,18.238656537454634,S5,UNK,V3,0,0.5387922
206,000001.SZ,18.116590793757226,18.513304460773806,18.615025913854986,17.90297574228676,S5,UNK,V3,1,0.53879166
207,000001.SZ,17.964008614135462,18.116590793757226,18.24882868276276,17.750393562664996,S5,UNK,V3,1,0.53876495
208,000001.SZ,17.475745639345824,17.719877126740645,17.77073785328123,16.97731051924807,S5,UNK,V4,1,0.5379778
209,000001.SZ,17.669016400200057,17.37402418626465,17.730049272048763,17.190925570718534,S5,UNK,V3,1,0.5356693
210,000001.SZ,18.13693508437346,17.679188545508172,18.238656537454634,17.546950656502645,S5,UNK,V4,1,0.5324078
211,000001.SZ,18.777780238784864,18.086074357832874,18.81846882001733,18.05555792190852,S5,UNK,V3,1,0.5282439
212,000001.SZ,19.174493905801445,18.910018127790387,19.30673179480697,18.615025913854986,S5,UNK,V3,1,0.5240679
213,000001.SZ,19.184666051109563,19.154149615185208,19.31690394011509,18.838813110633566,S2,T1,V4,1,0.5199753
214,000001.SZ,19.957749094526488,19.174493905801445,19.957749094526488,19.123633179260857,S2,T1,V1,1,0.5188688
215,000001.SZ,19.69327331651544,19.957749094526488,20.0187819663752,19.5000025556612,S2,T1,V3,1,0.5188688
216,000001.SZ,19.38810895727191,19.81533906021285,20.039126256991427,19.377936811963792,S2,T1,V4,1,0.5188688
217,000001.SZ,19.83568335082908,19.377936811963792,19.947576949218373,19.35759252134756,S2,T1,V3,1,0.5188688
218,000001.SZ,20.039126256991427,20.34429061623496,20.34429061623496,19.713617607131667,S2,T1,V3,0,0.5188688
219,000001.SZ,20.079814838223896,20.24256916315377,21.23943940334929,19.927232658602133,S2,T1,V4,0,0.5188688
220,000001.SZ,20.39515134277554,20.039126256991427,20.863070026948947,19.733961897747903,S2,T1,V1,0,0.5188688
221,000001.SZ,19.96792123983461,20.27308559907813,20.405323488083656,19.856027641445312,S2,T1,V3,0,0.5188688
222,000001.SZ,19.876371932061545,20.12050341945637,20.20188058192131,19.5000025556612,S2,T1,V3,0,0.5188688
223,000001.SZ,19.63224044466673,19.805166914904724,19.805166914904724,19.29655964949885,S5,UNK,V4,0,0.5188688
224,000001.SZ,19.23552677765015,19.64241258997485,19.723789752439785,19.001567435563445,S5,UNK,V3,0,0.5188784
225,000001.SZ,19.0320838714878,19.245698922958265,19.35759252134756,18.848985255941685,S5,UNK,V3,1,0.5198872
226,000001.SZ,19.0320838714878,19.11346103395273,19.377936811963792,19.001567435563445,S5,UNK,V4,1,0.5233655
227,000001.SZ,18.971050999639093,19.05242816210404,19.2050103417258,18.767608093476746,S5,UNK,V1,1,0.5273825
228,000001.SZ,18.838813110633566,19.0320838714878,19.123633179260857,18.533648751390043,S5,UNK,V3,0,0.5315428
229,000001.SZ,19.2050103417258,18.92019027309851,19.38810895727191,18.81846882001733,S5,UNK,V2,0,0.53580195
230,000001.SZ,19.062600307412147,19.123633179260857,19.174493905801445,18.46244373423322,S5,UNK,V3,0,0.54010916
231,000001.SZ,19.337248230731326,19.123633179260857,19.42879753850438,18.89984598248227,S5,UNK,V4,0,0.54451835
232,000001.SZ,19.276215358882617,19.23552677765015,19.398281102580025,18.92019027309851,S5,UNK,V3,0,0.548869
233,000001.SZ,18.676058785703685,19.327076085423204,19.42879753850438,18.54382089669816,S5,UNK,V1,0,0.5526638
234,000001.SZ,18.59468162323875,18.615025913854986,18.96087885433097,18.34037799053581,S5,UNK,V3,1,0.5562225
235,000001.SZ,18.20814010153028,18.676058785703685,18.971050999639093,18.187795810914047,S5,UNK,V4,1,0.5598547
236,000001.SZ,18.30986155461146,18.26917297337899,18.38106657176828,18.09624650314099,S5,UNK,V3,1,0.56242335
237,000001.SZ,18.57433733262252,18.46244373423322,18.80829667470921,18.360722281152047,S4,T2,V4,1,0.5644275
238,000001.SZ,18.350550135843925,18.57433733262252,18.57433733262252,18.106418648449107,S5,UNK,V3,1,0.5664128
239,000001.SZ,19.174493905801445,18.33020584522769,19.184666051109563,18.26917297337899,S5,T2,V2,0,0.5673043
240,000001.SZ,19.5000025556612,19.19483819641768,19.63224044466673,19.02191172617968,S5,UNK,V3,1,0.5673045
241,000001.SZ,19.530518991585552,19.327076085423204,19.530518991585552,19.04225601679592,S5,UNK,V4,1,0.5673045
242,000001.SZ,19.6729290258992,19.54069113689368,19.91706051329401,19.34742037603944,S5,UNK,V1,1,0.5673045
243,000001.SZ,18.92019027309851,19.42879753850438,19.42879753850438,18.757435948168627,S4,T2,V3,1,0.5673045
244,000001.SZ,18.48278802484945,18.71674736693616,18.798124529401097,18.106418648449107,S5,UNK,V3,1,0.5673045
245,000001.SZ,19.896716222677785,18.391238717076394,19.896716222677785,18.30986155461146,S5,UNK,V4,1,0.5673045
246,000001.SZ,20.242623848807447,19.85608128285032,20.324001231114213,19.561088271988307,S5,UNK,V3,1,0.5673045
247,000001.SZ,20.19176298486572,20.242623848807447,20.446067304574363,19.64246565429507,S5,UNK,V4,1,0.5673045
248,000001.SZ,20.73088814264804,20.344345576690905,20.995364635145016,20.344345576690905,S5,UNK,V1,1,0.5673045
249,000001.SZ,21.36156285552545,20.74106031543638,21.36156285552545,20.527444686881125,S5,UNK,V3,1,0.5673045
250,000001.SZ,21.05639767187509,21.36156285552545,21.3717350283138,20.751232488224726,S1,T1,V3,1,0.5673045
251,000001.SZ,20.51727251409278,21.0360533262984,21.24966895485365,20.293484712749176,S2,T1,V4,1,0.5673045
252,000001.SZ,21.36156285552545,21.36156285552545,22.327919270418267,21.178463745335232,S2,T1,V3,1,0.5673045
253,000001.SZ,23.090832229544176,21.56500631129236,23.172209611850946,21.56500631129236,S2,T1,V3,0,0.5673045
254,000001.SZ,22.72463400916374,22.89756094656562,23.23324264858101,22.429640998301725,S2,T1,V3,1,0.5673003
255,000001.SZ,22.85687225541223,22.531362726185176,23.365480894829503,22.500846207820143,S2,T1,V4,1,0.5668452
256,000001.SZ,22.61274010849194,22.887388773777268,23.192553957427634,22.531362726185176,S2,T1,V4,1,0.56510425
257,000001.SZ,22.40929665272504,22.61274010849194,22.61274010849194,21.880343667731072,S2,T1,V3,1,0.563022
258,000001.SZ,22.877216600988923,22.093959296286325,22.98911050166073,21.798966285424303,S2,T1,V4,1,0.5609615
259,000001.SZ,22.755150527528777,22.683945318010363,23.7215069424216,22.683945318010363,S2,T1,V3,1,0.5578232
260,000001.SZ,23.477374795501305,22.694117490798703,23.87408953424677,22.694117490798703,S2,T1,V4,1,0.5541302
261,000001.SZ,23.20272613021597,23.172209611850946,23.57909652338476,22.836527909835542,S2,T1,V3,1,0.55041826
262,000001.SZ,23.487546968289653,23.20272613021597,23.9452947437652,23.101004402332524,S2,T1,V4,1,0.54611087
263,000001.SZ,24.972684195388087,23.39599741319454,25.42025979807529,23.090832229544176,S2,T1,V4,1,0.5415313
264,000001.SZ,23.680818251268217,23.782539979151668,24.51493641991254,23.30444785809944,S2,T1,V3,1,0.5370648
265,000001.SZ,25.379571106921905,23.88426170703513,25.61353108105385,23.782539979151668,S2,T1,V4,0,0.53265125
266,000001.SZ,25.023545059329816,24.596313802219303,25.674564117783923,24.453903383182467,S2,T1,V3,0,0.52831286
267,000001.SZ,25.359226761345216,25.023545059329816,25.745769327302337,24.687863357314416,S2,T1,V4,0,0.5240922
268,000001.SZ,25.226988515096725,25.32871024298018,25.32871024298018,24.51493641991254,S2,T1,V4,0,0.51997995
269,000001.SZ,25.003200713753124,25.21681634230838,25.267677206250102,24.58614162943096,S2,T1,V4,0,0.5188689
270,000001.SZ,24.23011558183887,25.023545059329816,25.38974327971025,23.782539979151668,S5,UNK,V3,0,0.5188688
271,000001.SZ,24.718379875679453,24.41321469202909,24.972684195388087,23.88426170703513,S5,UNK,V3,0,0.5188688
272,000001.SZ,24.260632100203907,24.372526000875705,24.60648597500765,23.975811262130232,S5,UNK,V4,0,0.5188724
273,000001.SZ,22.765322700317125,24.20977123626218,24.20977123626218,22.64325662685697,S5,UNK,V2,0,0.5225674
274,000001.SZ,22.30757492484157,22.765322700317125,23.070487883967488,22.19568102416978,S5,UNK,V3,0,0.5265679
275,000001.SZ,22.541534898973524,22.65342879964533,22.66360097243367,21.9312045316728,S5,UNK,V4,1,0.5306803
276,000001.SZ,22.470329689455102,22.785667045893813,22.94842181050734,22.05327060513294,S5,UNK,V4,1,0.5349103
277,000001.SZ,21.748105421482578,21.97189322282618,22.33809144320661,21.575178484080705,S5,UNK,V1,1,0.53919816
278,000001.SZ,21.819310631000995,21.910860186096105,22.05327060513294,21.54466196571567,S5,UNK,V3,1,0.5435718
279,000001.SZ,22.022754086767904,21.99223756840287,22.531362726185176,21.626039348022434,S5,UNK,V1,0,0.54798126
280,000001.SZ,23.40616958598289,21.951548877249483,23.477374795501305,21.829482803789343,S5,UNK,V3,0,0.55198103
281,000001.SZ,23.314620030887777,23.1620374390626,23.894433879823467,23.039971365602447,S5,UNK,V3,0,0.555547
282,000001.SZ,22.72463400916374,23.090832229544176,23.37565306761785,22.23636971532316,S5,UNK,V1,0,0.5591661
283,000001.SZ,21.97189322282618,22.8263557370472,23.08066005675584,21.849827149366035,S5,UNK,V3,0,0.56210893
284,000001.SZ,21.20898026370028,22.05327060513294,22.29740275205324,20.93433159841494,S5,UNK,V3,1,0.5641222
285,000001.SZ,20.751232488224726,21.198808090911925,21.270013300430342,20.62916641476458,S5,UNK,V3,1,0.5661248
286,000001.SZ,21.63621152081078,20.93433159841494,21.748105421482578,20.91398725283825,S5,UNK,V4,1,0.5680784
287,000001.SZ,21.849827149366035,21.73793324869424,22.07361495070964,21.56500631129236,S4,T4,V3,0,0.5700195
288,000001.SZ,21.97189322282618,21.76844976705927,22.500846207820143,21.47345675619725,S4,T2,V4,0,0.5719101
289,000001.SZ,22.03292625955625,21.97189322282618,22.4906740350318,21.63621152081078,S5,T2,V2,0,0.57361484
290,000001.SZ,21.56500631129236,21.819310631000995,21.92103235888445,21.259841127642,S5,UNK,V1,0,0.57488835
291,000001.SZ,22.10413146907467,21.66672803917581,22.10413146907467,21.36156285552545,S4,T2,V3,0,0.57613456
292,000001.SZ,20.82243769774314,21.90068801330776,22.022754086767904,20.72071596985969,S5,UNK,V3,1,0.5773564
293,000001.SZ,21.92103235888445,20.903815080049903,21.92103235888445,20.88347073447321,S4,T2,V3,0,0.5785329
294,000001.SZ,21.5955228296574,21.941376704461145,22.022754086767904,21.32087416437207,S4,T2,V4,1,0.57975304
295,000001.SZ,20.88347073447321,21.575178484080705,21.646383693599127,20.802093352166448,S5,UNK,V4,1,0.5809572
296,000001.SZ,21.10725853581681,20.93433159841494,21.188635918123577,20.751232488224726,S5,UNK,V3,1,0.5821239
297,000001.SZ,21.50397327456229,21.198808090911925,21.76844976705927,21.117430708605163,S4,T2,V4,1,0.58178985
